KG,,1,2,3,4,5,6,7,8,9,10,11
0.5,,964,"1,162","1,362","1,224","1,434","1,398","1,149","2,020","1,181","1,655","2,253"
1,,"1,255","1,438","1,700","1,508","1,794","1,720","1,328","2,472","1,365","2,072","2,795"
1.5,,"1,444","1,658","1,960","1,739","2,062","1,977","1,507","2,813","1,548","2,351","3,229"
2,,"1,633","1,878","2,220","1,970","2,330","2,234","1,686","3,154","1,731","2,630","3,663"
2.5,,"1,823","2,098","2,484","2,201","2,599","2,490","1,865","3,490","1,915","2,910","4,099"
3,,"1,969","2,268","2,711","2,395","2,835","2,717","2,044","3,862","2,102","3,187","4,543"
3.5,,"2,115","2,438","2,938","2,589","3,071","2,944","2,223","4,234","2,289","3,464","4,987"
4,,"2,261","2,608","3,165","2,783","3,307","3,171","2,402","4,606","2,476","3,741","5,431"
4.5,,"2,407","2,778","3,392","2,977","3,543","3,398","2,581","4,978","2,663","4,018","5,875"
5,,"2,553","2,948","3,619","3,171","3,779","3,625","2,760","5,350","2,850","4,295","6,319"
5.5,,"2,637","3,044","3,772","3,311","3,945","3,788","2,911","5,662","3,025","4,532","6,671"
6,,"2,721","3,140","3,925","3,451","4,111","3,951","3,062","5,974","3,200","4,769","7,023"
6.5,,"2,805","3,236","4,078","3,591","4,277","4,114","3,213","6,286","3,375","5,006","7,375"
7,,"2,889","3,332","4,231","3,731","4,443","4,277","3,364","6,598","3,550","5,243","7,727"
7.5,,"2,973","3,428","4,384","3,871","4,609","4,440","3,515","6,910","3,725","5,480","8,079"
8,,"3,057","3,524","4,537","4,011","4,775","4,603","3,666","7,222","3,900","5,717","8,431"
8.5,,"3,141","3,620","4,690","4,151","4,941","4,766","3,817","7,534","4,075","5,954","8,783"
9,,"3,225","3,716","4,843","4,291","5,107","4,929","3,968","7,846","4,250","6,191","9,135"
9.5,,"3,309","3,812","4,996","4,431","5,273","5,092","4,119","8,158","4,425","6,428","9,487"
10,,"3,393","3,908","5,149","4,571","5,439","5,255","4,270","8,470","4,600","6,665","9,839"
10.5,,"3,497","3,975","5,266","4,677","5,559","5,387","4,381","8,669","4,746","6,861","10,077"
11,,"3,601","4,042","5,383","4,783","5,679","5,519","4,492","8,868","4,892","7,057","10,315"
11.5,,"3,705","4,109","5,500","4,889","5,799","5,651","4,603","9,067","5,038","7,253","10,553"
12,,"3,809","4,176","5,617","4,995","5,919","5,783","4,714","9,266","5,184","7,449","10,791"
12.5,,"3,913","4,243","5,734","5,101","6,039","5,915","4,825","9,465","5,330","7,645","11,029"
13,,"4,017","4,310","5,851","5,207","6,159","6,047","4,936","9,664","5,476","7,841","11,267"
13.5,,"4,121","4,377","5,968","5,313","6,279","6,179","5,047","9,863","5,622","8,037","11,505"
14,,"4,225","4,444","6,085","5,419","6,399","6,311","5,158","10,062","5,768","8,233","11,743"
14.5,,"4,329","4,511","6,202","5,525","6,519","6,443","5,269","10,261","5,914","8,429","11,981"
15,,"4,433","4,578","6,319","5,631","6,639","6,575","5,380","10,460","6,060","8,625","12,219"
15.5,,"4,537","4,645","6,436","5,737","6,759","6,707","5,491","10,659","6,206","8,821","12,457"
16,,"4,641","4,712","6,553","5,843","6,879","6,839","5,602","10,858","6,352","9,017","12,695"
16.5,,"4,745","4,779","6,670","5,949","6,999","6,971","5,713","11,057","6,498","9,213","12,933"
17,,"4,849","4,846","6,787","6,055","7,119","7,103","5,824","11,256","6,644","9,409","13,171"
17.5,,"4,953","4,913","6,904","6,161","7,239","7,235","5,935","11,455","6,790","9,605","13,409"
18,,"5,057","4,980","7,021","6,267","7,359","7,367","6,046","11,654","6,936","9,801","13,647"
18.5,,"5,161","5,047","7,138","6,373","7,479","7,499","6,157","11,853","7,082","9,997","13,885"
19,,"5,265","5,114","7,255","6,479","7,599","7,631","6,268","12,052","7,228","10,193","14,123"
19.5,,"5,369","5,181","7,372","6,585","7,719","7,763","6,379","12,251","7,374","10,389","14,361"
20,,"5,473","5,248","7,489","6,691","7,839","7,895","6,490","12,450","7,520","10,585","14,599"
21,,"5,705","5,546","7,869","7,063","8,310","8,379","6,885","13,030","7,929","11,131","15,432"
22,,"5,937","5,844","8,249","7,435","8,781","8,863","7,280","13,610","8,338","11,677","16,265"
23,,"6,169","6,142","8,629","7,807","9,252","9,347","7,675","14,190","8,747","12,223","17,098"
24,,"6,401","6,440","9,009","8,179","9,723","9,831","8,070","14,770","9,156","12,769","17,931"
25,,"6,633","6,738","9,389","8,551","10,194","10,315","8,465","15,350","9,565","13,315","18,764"
26,,"6,865","7,036","9,769","8,923","10,665","10,799","8,860","15,930","9,974","13,861","19,597"
27,,"7,097","7,334","10,149","9,295","11,136","11,283","9,255","16,510","10,383","14,407","20,430"
28,,"7,329","7,632","10,529","9,667","11,607","11,767","9,650","17,090","10,792","14,953","21,263"
29,,"7,561","7,930","10,909","10,039","12,078","12,251","10,045","17,670","11,201","15,499","22,096"
30,,"7,793","8,228","11,289","10,411","12,549","12,735","10,440","18,250","11,610","16,045","22,929"