Weight,United States,United Kingdom,Canada,Australia,Germany,Austria,Bahrain,Belgium,Denmark,Finland,France,Greece,Hong Kong,Ireland,Italy,Luxembourg,Malaysia,Mexico,Netherlands,Norway,Oman,Portugal,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,United Arab Emirates,
0.05,315.0,300.0,449.0,509.0,396.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.1,349.0,333.0,499.0,572.0,421.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.15,399.0,355.0,647.0,637.0,442.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.2,440.0,371.0,649.0,701.0,464.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.25,515.0,394.0,780.0,764.0,483.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.3,555.0,416.0,799.0,829.0,507.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.35,625.0,438.0,913.0,892.0,525.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.4,646.0,460.0,949.0,943.0,547.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.45,699.0,482.0,1048.0,943.0,565.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.5,873.0,510.0,1049.0,943.0,586.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.6,939.0,551.0,1149.0,1156.0,632.0,1392.0,1143.0,1272.0,1338.0,1392.0,1338.0,1392.0,1107.0,1392.0,1338.0,1272.0,1225.0,1481.0,1272.0,1392.0,1131.0,1392.0,1313.0,1137.0,1608.0,1392.0,1392.0,1338.0,1313.0,695.0,
0.7,1017.0,593.0,1199.0,1156.0,671.0,1392.0,1143.0,1272.0,1338.0,1392.0,1338.0,1392.0,1107.0,1392.0,1338.0,1272.0,1225.0,1481.0,1272.0,1392.0,1131.0,1392.0,1313.0,1137.0,1608.0,1392.0,1392.0,1338.0,1313.0,695.0,
0.8,1076.0,632.0,1249.0,1156.0,713.0,1392.0,1143.0,1272.0,1338.0,1392.0,1338.0,1392.0,1107.0,1392.0,1338.0,1272.0,1225.0,1481.0,1272.0,1392.0,1131.0,1392.0,1313.0,1137.0,1608.0,1392.0,1392.0,1338.0,1313.0,695.0,
0.9,1132.0,671.0,1299.0,1156.0,756.0,1392.0,1143.0,1272.0,1338.0,1392.0,1338.0,1392.0,1107.0,1392.0,1338.0,1272.0,1225.0,1481.0,1272.0,1392.0,1131.0,1392.0,1313.0,1137.0,1608.0,1392.0,1392.0,1338.0,1313.0,695.0,
1.0,1219.0,710.0,1349.0,1156.0,796.0,1392.0,1143.0,1272.0,1338.0,1392.0,1338.0,1392.0,1107.0,1392.0,1338.0,1272.0,1225.0,1481.0,1272.0,1392.0,1131.0,1392.0,1313.0,1137.0,1608.0,1392.0,1392.0,1338.0,1313.0,695.0,
1.1,1277.0,748.0,1499.0,1368.0,855.0,1634.0,1529.0,1463.0,1629.0,1634.0,1629.0,1634.0,1476.0,1634.0,1629.0,1463.0,1653.0,1803.0,1463.0,1634.0,1482.0,1634.0,1770.0,1505.0,2035.0,1634.0,1634.0,1629.0,1800.0,1034.0,
1.2,1333.0,790.0,1599.0,1368.0,896.0,1634.0,1529.0,1463.0,1629.0,1634.0,1629.0,1634.0,1476.0,1634.0,1629.0,1463.0,1653.0,1803.0,1463.0,1634.0,1482.0,1634.0,1770.0,1505.0,2035.0,1634.0,1634.0,1629.0,1800.0,1034.0,
1.3,1389.0,815.0,1649.0,1368.0,976.0,1634.0,1529.0,1463.0,1629.0,1634.0,1629.0,1634.0,1476.0,1634.0,1629.0,1463.0,1653.0,1803.0,1463.0,1634.0,1482.0,1634.0,1770.0,1505.0,2035.0,1634.0,1634.0,1629.0,1800.0,1034.0,
1.4,1475.0,860.0,1699.0,1368.0,1016.0,1634.0,1529.0,1463.0,1629.0,1634.0,1629.0,1634.0,1476.0,1634.0,1629.0,1463.0,1653.0,1803.0,1463.0,1634.0,1482.0,1634.0,1770.0,1505.0,2035.0,1634.0,1634.0,1629.0,1800.0,1034.0,
1.5,1536.0,905.0,1749.0,1368.0,1056.0,1634.0,1529.0,1463.0,1629.0,1634.0,1629.0,1634.0,1476.0,1634.0,1629.0,1463.0,1653.0,1803.0,1463.0,1634.0,1482.0,1634.0,1770.0,1505.0,2035.0,1634.0,1634.0,1629.0,1800.0,1034.0,
1.6,1624.0,950.0,1899.0,1581.0,1114.0,1825.0,1915.0,1630.0,1829.0,1825.0,1829.0,1825.0,1844.0,1825.0,1829.0,1630.0,2109.0,2183.0,1630.0,1825.0,1862.0,1825.0,2257.0,1874.0,2463.0,1825.0,1825.0,1829.0,2286.0,1255.0,
1.7,1680.0,995.0,1999.0,1581.0,1153.0,1825.0,1915.0,1630.0,1829.0,1825.0,1829.0,1825.0,1844.0,1825.0,1829.0,1630.0,2109.0,2183.0,1630.0,1825.0,1862.0,1825.0,2257.0,1874.0,2463.0,1825.0,1825.0,1829.0,2286.0,1255.0,
1.8,1806.0,1040.0,2049.0,1581.0,1192.0,1825.0,1915.0,1630.0,1829.0,1825.0,1829.0,1825.0,1844.0,1825.0,1829.0,1630.0,2109.0,2183.0,1630.0,1825.0,1862.0,1825.0,2257.0,1874.0,2463.0,1825.0,1825.0,1829.0,2286.0,1255.0,
1.9,1903.0,1083.0,2099.0,1581.0,1231.0,1825.0,1915.0,1630.0,1829.0,1825.0,1829.0,1825.0,1844.0,1825.0,1829.0,1630.0,2109.0,2183.0,1630.0,1825.0,1862.0,1825.0,2257.0,1874.0,2463.0,1825.0,1825.0,1829.0,2286.0,1255.0,
2.0,1962.0,1126.0,2149.0,1581.0,1271.0,1825.0,1915.0,1630.0,1829.0,1825.0,1829.0,1825.0,1844.0,1825.0,1829.0,1630.0,2109.0,2183.0,1630.0,1825.0,1862.0,1825.0,2257.0,1874.0,2463.0,1825.0,1825.0,1829.0,2286.0,1255.0,
2.1,2592.0,1580.0,2592.0,2655.0,1730.0,2015.0,2301.0,1799.0,2021.0,2015.0,2021.0,2015.0,2213.0,2015.0,2021.0,1799.0,2566.0,2592.0,1799.0,2015.0,2213.0,2015.0,2714.0,2242.0,2890.0,2015.0,2015.0,2021.0,2773.0,1476.0,
2.2,2592.0,1580.0,2592.0,2655.0,1730.0,2015.0,2301.0,1799.0,2021.0,2015.0,2021.0,2015.0,2213.0,2015.0,2021.0,1799.0,2566.0,2592.0,1799.0,2015.0,2213.0,2015.0,2714.0,2242.0,2890.0,2015.0,2015.0,2021.0,2773.0,1476.0,
2.3,2592.0,1580.0,2592.0,2655.0,1730.0,2015.0,2301.0,1799.0,2021.0,2015.0,2021.0,2015.0,2213.0,2015.0,2021.0,1799.0,2566.0,2592.0,1799.0,2015.0,2213.0,2015.0,2714.0,2242.0,2890.0,2015.0,2015.0,2021.0,2773.0,1476.0,
2.4,2592.0,1580.0,2592.0,2655.0,1730.0,2015.0,2301.0,1799.0,2021.0,2015.0,2021.0,2015.0,2213.0,2015.0,2021.0,1799.0,2566.0,2592.0,1799.0,2015.0,2213.0,2015.0,2714.0,2242.0,2890.0,2015.0,2015.0,2021.0,2773.0,1476.0,
2.5,2592.0,1580.0,2592.0,2655.0,1730.0,2015.0,2301.0,1799.0,2021.0,2015.0,2021.0,2015.0,2213.0,2015.0,2021.0,1799.0,2566.0,2592.0,1799.0,2015.0,2213.0,2015.0,2714.0,2242.0,2890.0,2015.0,2015.0,2021.0,2773.0,1476.0,
2.6,3030.0,1580.0,3030.0,2655.0,1730.0,2164.0,2688.0,2083.0,2476.0,2164.0,2476.0,2164.0,2581.0,2164.0,2476.0,2083.0,2994.0,3030.0,2083.0,2164.0,2564.0,2164.0,3171.0,2640.0,3318.0,2164.0,2164.0,2476.0,3289.0,1698.0,
2.7,3030.0,1580.0,3030.0,2655.0,1730.0,2164.0,2688.0,2083.0,2476.0,2164.0,2476.0,2164.0,2581.0,2164.0,2476.0,2083.0,2994.0,3030.0,2083.0,2164.0,2564.0,2164.0,3171.0,2640.0,3318.0,2164.0,2164.0,2476.0,3289.0,1698.0,
2.8,3030.0,1580.0,3030.0,2655.0,1730.0,2164.0,2688.0,2083.0,2476.0,2164.0,2476.0,2164.0,2581.0,2164.0,2476.0,2083.0,2994.0,3030.0,2083.0,2164.0,2564.0,2164.0,3171.0,2640.0,3318.0,2164.0,2164.0,2476.0,3289.0,1698.0,
2.9,3030.0,1580.0,3030.0,2655.0,1730.0,2164.0,2688.0,2083.0,2476.0,2164.0,2476.0,2164.0,2581.0,2164.0,2476.0,2083.0,2994.0,3030.0,2083.0,2164.0,2564.0,2164.0,3171.0,2640.0,3318.0,2164.0,2164.0,2476.0,3289.0,1698.0,
3.0,3030.0,1580.0,3030.0,2655.0,1730.0,2164.0,2688.0,2083.0,2476.0,2164.0,2476.0,2164.0,2581.0,2164.0,2476.0,2083.0,2994.0,3030.0,2083.0,2164.0,2564.0,2164.0,3171.0,2640.0,3318.0,2164.0,2164.0,2476.0,3289.0,1698.0,
3.1,3440.0,2092.0,3440.0,2968.0,2256.0,2314.0,3074.0,2228.0,2657.0,2314.0,2657.0,2314.0,2950.0,2314.0,2657.0,2228.0,3451.0,3440.0,2228.0,2314.0,2944.0,2314.0,3628.0,3009.0,3716.0,2314.0,2314.0,2657.0,3775.0,1919.0,
3.2,3440.0,2092.0,3440.0,2968.0,2256.0,2314.0,3074.0,2228.0,2657.0,2314.0,2657.0,2314.0,2950.0,2314.0,2657.0,2228.0,3451.0,3440.0,2228.0,2314.0,2944.0,2314.0,3628.0,3009.0,3716.0,2314.0,2314.0,2657.0,3775.0,1919.0,
3.3,3440.0,2092.0,3440.0,2968.0,2256.0,2314.0,3074.0,2228.0,2657.0,2314.0,2657.0,2314.0,2950.0,2314.0,2657.0,2228.0,3451.0,3440.0,2228.0,2314.0,2944.0,2314.0,3628.0,3009.0,3716.0,2314.0,2314.0,2657.0,3775.0,1919.0,
3.4,3440.0,2092.0,3440.0,2968.0,2256.0,2314.0,3074.0,2228.0,2657.0,2314.0,2657.0,2314.0,2950.0,2314.0,2657.0,2228.0,3451.0,3440.0,2228.0,2314.0,2944.0,2314.0,3628.0,3009.0,3716.0,2314.0,2314.0,2657.0,3775.0,1919.0,
3.5,3440.0,2092.0,3440.0,2968.0,2256.0,2314.0,3074.0,2228.0,2657.0,2314.0,2657.0,2314.0,2950.0,2314.0,2657.0,2228.0,3451.0,3440.0,2228.0,2314.0,2944.0,2314.0,3628.0,3009.0,3716.0,2314.0,2314.0,2657.0,3775.0,1919.0,
3.6,3849.0,2092.0,3849.0,2968.0,2256.0,2462.0,3460.0,2370.0,2840.0,2462.0,2840.0,2462.0,3319.0,2462.0,2840.0,2370.0,3908.0,3849.0,2370.0,2462.0,3295.0,2462.0,4114.0,3378.0,4143.0,2462.0,2462.0,2840.0,4261.0,2140.0,
3.7,3849.0,2092.0,3849.0,2968.0,2256.0,2462.0,3460.0,2370.0,2840.0,2462.0,2840.0,2462.0,3319.0,2462.0,2840.0,2370.0,3908.0,3849.0,2370.0,2462.0,3295.0,2462.0,4114.0,3378.0,4143.0,2462.0,2462.0,2840.0,4261.0,2140.0,
3.8,3849.0,2092.0,3849.0,2968.0,2256.0,2462.0,3460.0,2370.0,2840.0,2462.0,2840.0,2462.0,3319.0,2462.0,2840.0,2370.0,3908.0,3849.0,2370.0,2462.0,3295.0,2462.0,4114.0,3378.0,4143.0,2462.0,2462.0,2840.0,4261.0,2140.0,
3.9,3849.0,2092.0,3849.0,2968.0,2256.0,2462.0,3460.0,2370.0,2840.0,2462.0,2840.0,2462.0,3319.0,2462.0,2840.0,2370.0,3908.0,3849.0,2370.0,2462.0,3295.0,2462.0,4114.0,3378.0,4143.0,2462.0,2462.0,2840.0,4261.0,2140.0,
4.0,3849.0,2092.0,3849.0,2968.0,2256.0,2462.0,3460.0,2370.0,2840.0,2462.0,2840.0,2462.0,3319.0,2462.0,2840.0,2370.0,3908.0,3849.0,2370.0,2462.0,3295.0,2462.0,4114.0,3378.0,4143.0,2462.0,2462.0,2840.0,4261.0,2140.0,
4.1,4171.0,2527.0,4171.0,3281.0,2690.0,2613.0,3846.0,2514.0,3021.0,2613.0,3021.0,2613.0,3687.0,2613.0,3021.0,2514.0,4335.0,4171.0,2514.0,2613.0,3675.0,2613.0,4571.0,3746.0,4571.0,2613.0,2613.0,3021.0,4748.0,2361.0,
4.2,4171.0,2527.0,4171.0,3281.0,2690.0,2613.0,3846.0,2514.0,3021.0,2613.0,3021.0,2613.0,3687.0,2613.0,3021.0,2514.0,4335.0,4171.0,2514.0,2613.0,3675.0,2613.0,4571.0,3746.0,4571.0,2613.0,2613.0,3021.0,4748.0,2361.0,
4.3,4171.0,2527.0,4171.0,3281.0,2690.0,2613.0,3846.0,2514.0,3021.0,2613.0,3021.0,2613.0,3687.0,2613.0,3021.0,2514.0,4335.0,4171.0,2514.0,2613.0,3675.0,2613.0,4571.0,3746.0,4571.0,2613.0,2613.0,3021.0,4748.0,2361.0,
4.4,4171.0,2527.0,4171.0,3281.0,2690.0,2613.0,3846.0,2514.0,3021.0,2613.0,3021.0,2613.0,3687.0,2613.0,3021.0,2514.0,4335.0,4171.0,2514.0,2613.0,3675.0,2613.0,4571.0,3746.0,4571.0,2613.0,2613.0,3021.0,4748.0,2361.0,
4.5,4171.0,2527.0,4171.0,3281.0,2690.0,2613.0,3846.0,2514.0,3021.0,2613.0,3021.0,2613.0,3687.0,2613.0,3021.0,2514.0,4335.0,4171.0,2514.0,2613.0,3675.0,2613.0,4571.0,3746.0,4571.0,2613.0,2613.0,3021.0,4748.0,2361.0,
4.6,4493.0,2527.0,4493.0,3281.0,2690.0,2762.0,4232.0,2656.0,3197.0,2762.0,3197.0,2762.0,4056.0,2762.0,3197.0,2656.0,4792.0,4493.0,2656.0,2762.0,4026.0,2762.0,5028.0,4115.0,4998.0,2762.0,2762.0,3197.0,5234.0,2583.0,
4.7,4493.0,2527.0,4493.0,3281.0,2690.0,2762.0,4232.0,2656.0,3197.0,2762.0,3197.0,2762.0,4056.0,2762.0,3197.0,2656.0,4792.0,4493.0,2656.0,2762.0,4026.0,2762.0,5028.0,4115.0,4998.0,2762.0,2762.0,3197.0,5234.0,2583.0,
4.8,4493.0,2527.0,4493.0,3281.0,2690.0,2762.0,4232.0,2656.0,3197.0,2762.0,3197.0,2762.0,4056.0,2762.0,3197.0,2656.0,4792.0,4493.0,2656.0,2762.0,4026.0,2762.0,5028.0,4115.0,4998.0,2762.0,2762.0,3197.0,5234.0,2583.0,
