Weight,United States,United Kingdom,Canada,Australia,Germany,Austria,Bahrain,Belgium,Denmark,Finland,France,Greece,Hong Kong,Ireland,Italy,Luxembourg,Malaysia,Mexico,Netherlands,Norway,Oman,Portugal,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,United Arab Emirates,
4.9,4493.0,2527.0,4493.0,3281.0,2690.0,2762.0,4232.0,2656.0,3197.0,2762.0,3197.0,2762.0,4056.0,2762.0,3197.0,2656.0,4792.0,4493.0,2656.0,2762.0,4026.0,2762.0,5028.0,4115.0,4998.0,2762.0,2762.0,3197.0,5234.0,2583.0,
5.0,4493.0,2527.0,4493.0,3281.0,2690.0,2762.0,4232.0,2656.0,3197.0,2762.0,3197.0,2762.0,4056.0,2762.0,3197.0,2656.0,4792.0,4493.0,2656.0,2762.0,4026.0,2762.0,5028.0,4115.0,4998.0,2762.0,2762.0,3197.0,5234.0,2583.0,
5.5,4779.0,2891.0,4779.0,4297.0,2780.0,2891.0,4619.0,2780.0,3376.0,2891.0,3376.0,2891.0,4454.0,2891.0,3376.0,2780.0,5279.0,4779.0,2780.0,2891.0,4407.0,2891.0,5514.0,4513.0,5485.0,2891.0,2891.0,3376.0,5779.0,2804.0,
6.0,5024.0,3019.0,5024.0,4297.0,2902.0,3019.0,5005.0,2902.0,3552.0,3019.0,3552.0,3019.0,4852.0,3019.0,3552.0,2902.0,5765.0,5024.0,2902.0,3019.0,4787.0,3019.0,6001.0,4911.0,5971.0,3019.0,3019.0,3552.0,6325.0,3025.0,
6.5,5271.0,3148.0,5271.0,4653.0,3026.0,3148.0,5391.0,3026.0,3731.0,3148.0,3731.0,3148.0,5250.0,3148.0,3731.0,3026.0,6251.0,5271.0,3026.0,3148.0,5167.0,3148.0,6487.0,5309.0,6458.0,3148.0,3148.0,3731.0,6870.0,3246.0,
7.0,5516.0,3276.0,5516.0,4653.0,3149.0,3276.0,5777.0,3149.0,3908.0,3276.0,3908.0,3276.0,5648.0,3276.0,3908.0,3149.0,6738.0,5516.0,3149.0,3276.0,5548.0,3276.0,6974.0,5707.0,6944.0,3276.0,3276.0,3908.0,7415.0,3468.0,
7.5,5762.0,3405.0,5762.0,5009.0,3272.0,3405.0,6164.0,3272.0,4086.0,3405.0,4086.0,3405.0,6046.0,3405.0,4086.0,3272.0,7224.0,5762.0,3272.0,3405.0,5928.0,3405.0,7460.0,6105.0,7431.0,3405.0,3405.0,4086.0,7961.0,3689.0,
8.0,6006.0,3534.0,6006.0,5009.0,3395.0,3534.0,6550.0,3395.0,4219.0,3534.0,4219.0,3534.0,6444.0,3534.0,4219.0,3395.0,7711.0,6006.0,3395.0,3534.0,6308.0,3534.0,7946.0,6503.0,7917.0,3534.0,3534.0,4219.0,8506.0,3910.0,
8.5,6251.0,3662.0,6251.0,5365.0,3519.0,3662.0,6936.0,3519.0,4353.0,3662.0,4353.0,3662.0,6842.0,3662.0,4353.0,3519.0,8197.0,6251.0,3519.0,3662.0,6689.0,3662.0,8433.0,6901.0,8403.0,3662.0,3662.0,4353.0,9051.0,4132.0,
9.0,6494.0,3791.0,6494.0,5365.0,3642.0,3791.0,7322.0,3642.0,4486.0,3791.0,4486.0,3791.0,7240.0,3791.0,4486.0,3642.0,8684.0,6494.0,3642.0,3791.0,7069.0,3791.0,8919.0,7299.0,8890.0,3791.0,3791.0,4486.0,9597.0,4353.0,
9.5,6720.0,3920.0,6720.0,5722.0,3764.0,3920.0,7709.0,3764.0,4621.0,3920.0,4621.0,3920.0,7638.0,3920.0,4621.0,3764.0,9170.0,6720.0,3764.0,3920.0,7449.0,3920.0,9406.0,7697.0,9376.0,3920.0,3920.0,4621.0,10142.0,4574.0,
10.0,6941.0,4048.0,6941.0,5722.0,3888.0,4048.0,8095.0,3888.0,4754.0,4048.0,4754.0,4048.0,8036.0,4048.0,4754.0,3888.0,9656.0,6941.0,3888.0,4048.0,7123.0,4048.0,10305.0,8095.0,9863.0,4048.0,4048.0,4754.0,10687.0,4795.0,
10.5,6312.0,4222.0,6312.0,8620.0,4014.0,4222.0,9068.0,4014.0,4664.0,4222.0,4664.0,4222.0,6069.0,4222.0,4664.0,4014.0,6069.0,6312.0,4014.0,4222.0,7998.0,4222.0,11498.0,6069.0,11012.0,4222.0,4222.0,4664.0,6069.0,5438.0,
11.0,6525.0,4399.0,6525.0,8620.0,4182.0,4399.0,9068.0,4182.0,4802.0,4399.0,4802.0,4399.0,6069.0,4399.0,4802.0,4182.0,6069.0,6525.0,4182.0,4399.0,7998.0,4399.0,11498.0,6069.0,11012.0,4399.0,4399.0,4802.0,6069.0,5438.0,
11.5,6739.0,4570.0,6739.0,9404.0,4345.0,4570.0,9892.0,4345.0,4950.0,4570.0,4950.0,4570.0,6620.0,4570.0,4950.0,4345.0,6620.0,6739.0,4345.0,4570.0,8726.0,4570.0,12544.0,6620.0,12013.0,4570.0,4570.0,4950.0,6620.0,5933.0,
12.0,6943.0,4746.0,6943.0,9404.0,4511.0,4746.0,9892.0,4511.0,5093.0,4746.0,5093.0,4746.0,6620.0,4746.0,5093.0,4511.0,6620.0,6943.0,4511.0,4746.0,8726.0,4746.0,12544.0,6620.0,12013.0,4746.0,4746.0,5093.0,6620.0,5933.0,
12.5,7161.0,4921.0,7161.0,10188.0,4678.0,4921.0,10716.0,4678.0,5228.0,4921.0,5228.0,4921.0,7172.0,4921.0,5228.0,4678.0,7172.0,7161.0,4678.0,4921.0,9453.0,4921.0,13589.0,7172.0,13014.0,4921.0,4921.0,5228.0,7172.0,6427.0,
13.0,7349.0,5095.0,7349.0,10188.0,4842.0,5095.0,10716.0,4842.0,5374.0,5095.0,5374.0,5095.0,7172.0,5095.0,5374.0,4842.0,7172.0,7349.0,4842.0,5095.0,9453.0,5095.0,13589.0,7172.0,13014.0,5095.0,5095.0,5374.0,7172.0,6427.0,
13.5,7538.0,5269.0,7538.0,10971.0,4745.0,5269.0,11541.0,4745.0,5516.0,5269.0,5516.0,5269.0,7724.0,5269.0,5516.0,4745.0,7724.0,7538.0,4745.0,5269.0,10180.0,5269.0,14634.0,7724.0,14016.0,5269.0,5269.0,5516.0,7724.0,6921.0,
14.0,7731.0,5441.0,7731.0,10971.0,4902.0,5441.0,11541.0,4902.0,5657.0,5441.0,5657.0,5441.0,7724.0,5441.0,5657.0,4902.0,7724.0,7731.0,4902.0,5441.0,10180.0,5441.0,14634.0,7724.0,14016.0,5441.0,5441.0,5657.0,7724.0,6921.0,
14.5,7921.0,5620.0,7921.0,11755.0,5060.0,5620.0,12340.0,5060.0,5804.0,5620.0,5804.0,5620.0,8276.0,5620.0,5804.0,5060.0,8276.0,7921.0,5060.0,5620.0,10816.0,5620.0,15471.0,8276.0,15008.0,5620.0,5620.0,5804.0,8276.0,7391.0,
15.0,8121.0,5791.0,8121.0,11755.0,5213.0,5791.0,12340.0,5213.0,5941.0,5791.0,5941.0,5791.0,8276.0,5791.0,5941.0,5213.0,8276.0,8121.0,5213.0,5791.0,10816.0,5791.0,15471.0,8276.0,15008.0,5791.0,5791.0,5941.0,8276.0,7391.0,
15.5,8284.0,5965.0,8284.0,12539.0,5372.0,5965.0,13163.0,5372.0,6073.0,5965.0,6073.0,5965.0,8827.0,5965.0,6073.0,5372.0,8827.0,8284.0,5372.0,5965.0,11537.0,5965.0,16503.0,8827.0,16009.0,5965.0,5965.0,6073.0,8827.0,7883.0,
16.0,8437.0,6141.0,8437.0,12539.0,5530.0,6141.0,13163.0,5530.0,6202.0,6141.0,6202.0,6141.0,8827.0,6141.0,6202.0,5530.0,8827.0,8437.0,5530.0,6141.0,11537.0,6141.0,16503.0,8827.0,16009.0,6141.0,6141.0,6202.0,8827.0,7883.0,
16.5,8609.0,6313.0,8609.0,13322.0,5684.0,6313.0,13985.0,5684.0,6328.0,6313.0,6328.0,6313.0,9379.0,6313.0,6328.0,5684.0,9379.0,8609.0,5684.0,6313.0,12259.0,6313.0,17534.0,9379.0,17009.0,6313.0,6313.0,6328.0,9379.0,8376.0,
17.0,8761.0,6491.0,8761.0,13322.0,5662.0,6491.0,13985.0,5662.0,6457.0,6491.0,6457.0,6491.0,9379.0,6491.0,6457.0,5662.0,9379.0,8761.0,5662.0,6491.0,12259.0,6491.0,17534.0,9379.0,17009.0,6491.0,6491.0,6457.0,9379.0,8376.0,
17.5,8927.0,6665.0,8927.0,14106.0,5814.0,6665.0,14808.0,5814.0,6579.0,6665.0,6579.0,6665.0,9931.0,6665.0,6579.0,5814.0,9931.0,8927.0,5814.0,6665.0,12980.0,6665.0,18565.0,9931.0,18010.0,6665.0,6665.0,6579.0,9931.0,8869.0,
18.0,9106.0,6838.0,9106.0,14106.0,5964.0,6838.0,14808.0,5964.0,6713.0,6838.0,6713.0,6838.0,9931.0,6838.0,6713.0,5964.0,9931.0,9106.0,5964.0,6838.0,12980.0,6838.0,18565.0,9931.0,18010.0,6838.0,6838.0,6713.0,9931.0,8869.0,
18.5,9286.0,7013.0,9286.0,14890.0,6117.0,7013.0,15631.0,6117.0,6839.0,7013.0,6839.0,7013.0,10482.0,7013.0,6839.0,6117.0,10482.0,9286.0,6117.0,7013.0,13701.0,7013.0,19597.0,10482.0,19010.0,7013.0,7013.0,6839.0,10482.0,9361.0,
19.0,9473.0,7185.0,9473.0,14890.0,6266.0,7185.0,15631.0,6266.0,6966.0,7185.0,6966.0,7185.0,10482.0,7185.0,6966.0,6266.0,10482.0,9473.0,6266.0,7185.0,13701.0,7185.0,19597.0,10482.0,19010.0,7185.0,7185.0,6966.0,10482.0,9361.0,
19.5,9659.0,7363.0,9659.0,15516.0,6419.0,7363.0,16423.0,6419.0,7095.0,7363.0,7095.0,7363.0,10339.0,7363.0,7095.0,6419.0,10339.0,9659.0,6419.0,7363.0,14312.0,7363.0,20376.0,10339.0,20001.0,7363.0,7363.0,7095.0,10339.0,9823.0,
20.0,9832.0,7533.0,9832.0,15516.0,6572.0,7533.0,16423.0,6572.0,7220.0,7533.0,7220.0,7533.0,10339.0,7533.0,7220.0,6572.0,10339.0,9832.0,6572.0,7533.0,14312.0,7533.0,20376.0,10339.0,20001.0,7533.0,7533.0,7220.0,10339.0,9823.0,
20.5,12540.0,9117.0,12540.0,16292.0,8107.0,9117.0,17244.0,8107.0,8788.0,9117.0,8788.0,9117.0,10856.0,9117.0,8788.0,8107.0,10856.0,12540.0,8107.0,9117.0,15028.0,9117.0,21394.0,10856.0,21001.0,9117.0,9117.0,8788.0,10856.0,10315.0,
21.0,12540.0,9117.0,12540.0,16292.0,8107.0,9117.0,17244.0,8107.0,8788.0,9117.0,8788.0,9117.0,10856.0,9117.0,8788.0,8107.0,10856.0,12540.0,8107.0,9117.0,15028.0,9117.0,21394.0,10856.0,21001.0,9117.0,9117.0,8788.0,10856.0,10315.0,
21.5,13137.0,9551.0,13137.0,17068.0,8493.0,9551.0,18065.0,8493.0,9207.0,9551.0,9207.0,9551.0,11373.0,9551.0,9207.0,8493.0,11373.0,13137.0,8493.0,9551.0,15743.0,9551.0,22413.0,11373.0,22001.0,9551.0,9551.0,9207.0,11373.0,10806.0,
22.0,13137.0,9551.0,13137.0,17068.0,8493.0,9551.0,18065.0,8493.0,9207.0,9551.0,9207.0,9551.0,11373.0,9551.0,9207.0,8493.0,11373.0,13137.0,8493.0,9551.0,15743.0,9551.0,22413.0,11373.0,22001.0,9551.0,9551.0,9207.0,11373.0,10806.0,
22.5,13734.0,9985.0,13734.0,17844.0,8879.0,9985.0,18886.0,8879.0,9625.0,9985.0,9625.0,9985.0,11890.0,9985.0,9625.0,8879.0,11890.0,13734.0,8879.0,9985.0,16459.0,9985.0,23432.0,11890.0,23001.0,9985.0,9985.0,9625.0,11890.0,11297.0,
23.0,13734.0,9985.0,13734.0,17844.0,8879.0,9985.0,18886.0,8879.0,9625.0,9985.0,9625.0,9985.0,11890.0,9985.0,9625.0,8879.0,11890.0,13734.0,8879.0,9985.0,16459.0,9985.0,23432.0,11890.0,23001.0,9985.0,9985.0,9625.0,11890.0,11297.0,
23.5,14331.0,10419.0,14331.0,18620.0,9265.0,10419.0,19707.0,9265.0,10044.0,10419.0,10044.0,10419.0,12407.0,10419.0,10044.0,9265.0,12407.0,14331.0,9265.0,10419.0,17175.0,10419.0,24451.0,12407.0,24001.0,10419.0,10419.0,10044.0,12407.0,11788.0,
24.0,14331.0,10419.0,14331.0,18620.0,9265.0,10419.0,19707.0,9265.0,10044.0,10419.0,10044.0,10419.0,12407.0,10419.0,10044.0,9265.0,12407.0,14331.0,9265.0,10419.0,17175.0,10419.0,24451.0,12407.0,24001.0,10419.0,10419.0,10044.0,12407.0,11788.0,
24.5,14928.0,10853.0,14928.0,19395.0,9651.0,10853.0,20528.0,9651.0,10462.0,10853.0,10462.0,10853.0,12924.0,10853.0,10462.0,9651.0,12924.0,14928.0,9651.0,10853.0,17890.0,10853.0,25470.0,12924.0,25001.0,10853.0,10853.0,10462.0,12924.0,12279.0,
25.0,14928.0,10853.0,14928.0,19395.0,9651.0,10853.0,20528.0,9651.0,10462.0,10853.0,10462.0,10853.0,12924.0,10853.0,10462.0,9651.0,12924.0,14928.0,9651.0,10853.0,17890.0,10853.0,25470.0,12924.0,25001.0,10853.0,10853.0,10462.0,12924.0,12279.0,
25.5,15525.0,11287.0,15525.0,20171.0,10037.0,11287.0,21349.0,10037.0,10881.0,11287.0,10881.0,11287.0,13441.0,11287.0,10881.0,10037.0,13441.0,15525.0,10037.0,11287.0,18606.0,11287.0,26488.0,13441.0,26001.0,11287.0,11287.0,10881.0,13441.0,12770.0,
26.0,15525.0,11287.0,15525.0,20171.0,10037.0,11287.0,21349.0,10037.0,10881.0,11287.0,10881.0,11287.0,13441.0,11287.0,10881.0,10037.0,13441.0,15525.0,10037.0,11287.0,18606.0,11287.0,26488.0,13441.0,26001.0,11287.0,11287.0,10881.0,13441.0,12770.0,
26.5,16123.0,11722.0,16123.0,20947.0,10423.0,11722.0,22171.0,10423.0,11299.0,11722.0,11299.0,11722.0,13958.0,11722.0,11299.0,10423.0,13958.0,16123.0,10423.0,11722.0,19321.0,11722.0,27507.0,13958.0,27001.0,11722.0,11722.0,11299.0,13958.0,13262.0,
27.0,16123.0,11722.0,16123.0,20947.0,10423.0,11722.0,22171.0,10423.0,11299.0,11722.0,11299.0,11722.0,13958.0,11722.0,11299.0,10423.0,13958.0,16123.0,10423.0,11722.0,19321.0,11722.0,27507.0,13958.0,27001.0,11722.0,11722.0,11299.0,13958.0,13262.0,
27.5,16720.0,12156.0,16720.0,21723.0,10810.0,12156.0,22992.0,10810.0,11718.0,12156.0,11718.0,12156.0,14475.0,12156.0,11718.0,10810.0,14475.0,16720.0,10810.0,12156.0,20037.0,12156.0,28526.0,14475.0,28001.0,12156.0,12156.0,11718.0,14475.0,13753.0,
28.0,16720.0,12156.0,16720.0,21723.0,10810.0,12156.0,22992.0,10810.0,11718.0,12156.0,11718.0,12156.0,14475.0,12156.0,11718.0,10810.0,14475.0,16720.0,10810.0,12156.0,20037.0,12156.0,28526.0,14475.0,28001.0,12156.0,12156.0,11718.0,14475.0,13753.0,
28.5,17317.0,12590.0,17317.0,22499.0,11196.0,12590.0,23813.0,11196.0,12136.0,12590.0,12136.0,12590.0,14992.0,12590.0,12136.0,11196.0,14992.0,17317.0,11196.0,12590.0,20753.0,12590.0,29545.0,14992.0,29001.0,12590.0,12590.0,12136.0,14992.0,14244.0,
29.0,17317.0,12590.0,17317.0,22499.0,11196.0,12590.0,23813.0,11196.0,12136.0,12590.0,12136.0,12590.0,14992.0,12590.0,12136.0,11196.0,14992.0,17317.0,11196.0,12590.0,20753.0,12590.0,29545.0,14992.0,29001.0,12590.0,12590.0,12136.0,14992.0,14244.0,
29.5,17914.0,13024.0,17914.0,23274.0,11582.0,13024.0,24592.0,11582.0,12555.0,13024.0,12555.0,13024.0,15508.0,13024.0,12555.0,11582.0,15508.0,17914.0,11582.0,13024.0,21318.0,13024.0,30218.0,15508.0,29987.0,13024.0,13024.0,12555.0,15508.0,14693.0,
30.0,17914.0,13024.0,17914.0,23274.0,11582.0,13024.0,24592.0,11582.0,12555.0,13024.0,12555.0,13024.0,15508.0,13024.0,12555.0,11582.0,15508.0,17914.0,11582.0,13024.0,21318.0,13024.0,30218.0,15508.0,29987.0,13024.0,13024.0,12555.0,15508.0,14693.0,
