csvzonesCountry,Zone
Bangladesh,1
Bhutan,1
Sri Lanka,1
UAE,1
Hong kong,2
Malaysia,2
Singapore,2
China,3
Nepal,3
Bahrain,4
Jordan,4
Kuwait,4
Oman,4
Qatar,4
Saudi Arabia,4
Indonesia,5
Macau,5
Philippines,5
Taiwan,5
Thailand,5
Vietnam,5
Australia,6
Austria,7
Belgium,7
Denmark,7
Finland,7
France,7
Germany,7
Greece,7
Ireland,7
Italy,7
Liechtenstein,7
Luxembourg,7
Monaco,7
Netherlands,7
Norway,7
Portugal,7
Spain,7
Sweden,7
Switzerland,7
Turkey,7
United kingdom,7
Vatican City State,7
Andorra,8
Belarus,8
Bulgaria,8
Canary Islands,8
Croatia,8
Czech Republic,8
Estonia,8
Faroe Islands,8
Gibraltar,8
Greenland,8
Guernsey,8
Hungary,8
Iceland,8
Israel,8
Jersey,8
Latvia,8
Lithuania,8
Malta,8
Poland,8
Romania,8
Russian Federation,8
Slovakia,8
Slovenia,8
American Samoa,9
Guam,9
Marshall Islands,9
Saipan,9
Virgin (Islands US),9
Anguilla,10
Antigua,10
Argentina,10
Aruba,10
Bahamas,10
Barbados,10
Belize,10
Bermuda,10
Bolivia,10
Bonaire,10
Brazil,10
Cayman Islands,10
Chile,10
Colombia,10
Costa Rica,10
Cuba,10
Curacao,10
Dominica,10
Dominican Republic,10
Ecuador,10
El Salvador,10
Falkland islands,10
French Guyana,10
Grenada,10
Guadeloupe,10
Guatemala,10
Guyana(British),10
Haiti,10
Honduras,10
Jamaica,10
Martinique,10
Montserrat,10
Netherlands Antilles,10
Nevis,10
Nicaragua,10
Panama,10
Paraguay,10
Peru,10
St. Eustatius,10
St.Barthelemy,10
St.Kitts,10
St.Lucia,10
St.Maarten,10
St.Vincent,10
Suriname,10
Trinidad and Tobago,10
Turks and Caicos Islands,10
Uruguay,10
Venezuela,10
Virgin Islands(British),10
Afghanistan,11
Albania,11
Algeria,11
Angola,11
Armenia,11
Azerbaijan,11
Benin,11
Bosnia and Herzegovina,11
Botswana,11
Brunei,11
Burkina Faso,11
Burundi,11
Cambodia,11
Cameroon,11
Cape Verde,11
Central African Republic,11
Chad,11
Comoros,11
Congo,11
Congo Deocratic Rep,11
Cook Islands,11
Cote d 'Ivoire,11
Cyprus,11
Djibouti,11
Eritrea,11
Ethiopia,11
Fiji,11
Gabon,11
Gambia,11
Georgia,11
Guinea Republic,11
Guinea-Bissau,11
Guinea-Equatorial,11
Iran,11
Iraq,11
Kazakhstan,11
Kiribati,11
Korea Republic of,11
Korea the DPR of,11
Kosovo,11
Kyrgyzstan,11
Lao People's Democratic,11
Lebanon,11
Lesotho,11
Liberia,11
Libya,11
Macedonia Republic of,11
Madagascar,11
Malawi,11
Maldives,11
Mali,11
Mauritania,11
Mayotte,11
Micronesia Federated States,11
Moldova Republic,11
Mongolia,11
Montenegro Republic,11
Morocco,11
Mozambique,11
Myanmar,11
Namibia,11
Nauru Republic Of,11
New Caledonia,11
New Zealand,11
Niger,11
Nigeria,11
Niue,11
Pakistan,11
Palau,11
Papua New Guinea,11
Reunion Island,11
Rwanda,11
Saint Helena,11
Samoa,11
San Marino,11
Sao Tome and Principe,11
Senegal,11
Serbia,11
Seychelles,11
Sierra Leone,11
Solomon Islands,11
Somalia,11
Somaliland Rep Of(N Somalia),11
South Sudan,11
Sudan,11
Swaziland,11
Syria,11
Tahiti,11
Tajikistan,11
Timor-Leste,11
Togo,11
Tonga,11
Tunisia,11
Turkmenistan NEW,11
Tuvalu,11
Ukraine,11
Uzbekistan,11
Vanuatu,11
Yemen,11
Zambia,11
Zimbabwe,11
Canada,12
Mexico,12
Puerto Rico,12
United States of America,12
Egypt,13
Ghana,13
Japan,13
Kenya,13
Mauritius,13
South Africa,13
Tanzania,13
Uganda,13